time,coin,dir,px,sz,ntl,fee,closedPnl
2025/11/9 16:50:58,HYPE,Close Short,39.946,7.81,311.97826,0.14039,2.61654
2025/11/9 17:09:23,ETH,Close Short,3431.7,0.095,326.0115,0.146705,-3.120205
2025/11/9 17:10:08,BNB,Close Short,989.87,0.612,605.80044,0.27261,-2.207754
2025/11/9 17:12:00,BNB,Open Long,991.77,0.32,317.3664,0.142814,-0.142814
2025/11/9 17:39:04,ETH,Open Long,3418.7,0.4871,1665.24877,0.749361,-0.749361
2025/11/9 17:47:56,ETH,Close Long,3407.8,0.4871,1659.93938,0.746972,-6.056362
2025/11/9 17:47:59,BNB,Close Long,989.36,0.32,316.59520000000003,0.142467,-0.913667
2025/11/9 17:54:03,ETH,Open Short,3403.4,0.5714,1944.7027600000001,0.875116,-0.875116
2025/11/9 19:08:58,ETH,Close Short,3418.8,0.5714,1953.5023200000003,0.879076,-9.678636
2025/11/9 19:14:58,SOL,Open Short,159.25,3.57,568.5224999999999,0.255835,-0.255835
2025/11/9 21:14:57,SOL,Close Short,159.75,3.57,570.3075,0.246372,-2.0313719999999997
2025/11/9 21:16:38,BNB,Open Long,982.01,0.574,563.67374,0.243507,-0.243507
2025/11/9 21:18:01,ETH,Open Long,3455.6,0.2718,939.2320799999999,0.405748,-0.405748
2025/11/9 21:21:01,BNB,Close Long,978.38,0.574,561.59012,0.242606,-2.3262259999999997
2025/11/9 21:27:06,BNB,Open Long,981.85,0.303,297.50055,0.12852,-0.12852
2025/11/9 21:39:00,SOL,Open Long,159.94,1.86,297.4884,0.128514,-0.128514
2025/11/9 21:56:58,BNB,Close Long,984.57,0.303,298.32471,0.128876,0.695284
2025/11/9 22:05:57,SOL,Close Long,159.25,1.86,296.20500000000004,0.12796,-1.4113600000000002
2025/11/9 22:11:56,ETH,Close Long,3474,0.2718,944.2331999999999,0.407908,4.593212
2025/11/9 22:18:00,ETH,Open Short,3471.1,0.0867,300.94437,0.130007,-0.130007
2025/11/9 22:26:06,ETH,Close Short,3512.2,0.0867,304.50773999999996,0.131547,-3.694917
2025/11/9 22:27:01,XRP,Open Short,2.3022,129,296.98380000000003,0.128297,-0.128297
2025/11/9 22:29:59,XRP,Close Short,2.3157,129,298.7253,0.129049,-1.870549
2025/11/9 22:35:59,ADA,Open Short,0.5747255126,517,297.13309001420004,0.12836,-0.12836
2025/11/9 22:44:59,HYPE,Open Short,40.7,7.33,298.331,0.128878,-0.128878
2025/11/9 23:03:04,ETH,Open Short,3508,0.3587,1258.3196,0.543593,-0.543593
2025/11/9 23:05:57,ADA,Close Short,0.57323,517,296.35991,0.128027,0.644888
2025/11/9 23:22:20,HYPE,Close Short,41.2,7.33,301.99600000000004,0.13046,-3.79546
2025/11/9 23:36:03,BNB,Open Short,997.26,0.288,287.21088,0.124075,-0.124075
2025/11/9 23:39:00,ETH,Close Short,3531,0.3587,1266.5697,0.547157,-8.797257
2025/11/9 23:53:41,XRP,Open Short,2.3271,104,242.0184,0.104551,-0.104551
2025/11/9 23:57:04,ETH,Open Short,3514.8,0.3141,1103.99868,0.476927,-0.476927
2025/11/10 00:06:08,BNB,Close Short,995.71,0.288,286.76448,0.123882,0.322518
2025/11/10 00:06:11,XRP,Close Short,2.3124,104,240.48959999999997,0.103891,1.424909
