time,coin,dir,px,sz,ntl,fee,closedPnl
2025/11/14 20:19:23,SOL,Open Long,138.31,0.64,88.5184,0.038238,-0.038238
2025/11/14 20:28:21,SOL,Close Long,138.77,0.64,88.81280000000001,0.038367,0.256033
2025/11/14 21:34:28,SOL,Open Long,136.57,0.89,121.54729999999999,0.052508,-0.052508
2025/11/14 21:43:27,SOL,Close Long,136.78,0.89,121.7342,0.052588,0.13431200000000001
2025/11/14 22:07:29,BTC,Close Short,95692,0.01233,1179.88236,0.509709,1.401441
2025/11/14 22:10:24,HYPE,Open Long,37.048,5.83,215.98984000000002,0.093307,-0.093307
2025/11/14 22:16:55,HYPE,Close Long,37.04,5.83,215.9432,0.093287,-0.139927
2025/11/14 22:22:24,HYPE,Open Long,37.051,5.83,216.00733000000002,0.093315,-0.093315
2025/11/14 22:25:27,HYPE,Close Long,37.136,5.83,216.50288000000003,0.093529,0.40202099999999996
2025/11/14 22:34:31,XRP,Open Long,2.2649,95,215.16549999999998,0.092951,-0.092951
2025/11/14 22:43:23,XRP,Close Long,2.3051,95,218.9845,0.094601,3.724399
2025/11/14 22:46:26,ETH,Open Short,3203.2,0.0685,219.41920000000002,0.094789,-0.094789
2025/11/14 23:01:30,BTC,Open Short,96305,0.00553,532.56665,0.230068,-0.230068
2025/11/14 23:34:21,ETH,Close Short,3198.6413138686,0.0685,219.1069299999991,0.094652,0.21761799999999998
2025/11/14 23:40:26,XRP,Open Short,2.3103,94,217.16819999999998,0.093816,-0.093816
2025/11/14 23:55:22,BTC,Close Short,96919,0.00553,535.96207,0.231535,-3.626955
2025/11/14 23:58:38,ETH,Open Long,3194.5434809348,0.1626,519.4327699999984,0.224392,-0.224392
2025/11/15 00:19:21,ETH,Close Long,3196.5,0.1626,519.7509,0.224532,0.09416399999999997
2025/11/15 00:22:33,BTC,Open Short,96374,0.00907,874.11218,0.377616,-0.377616
2025/11/15 00:28:16,BTC,Close Short,97000,0.00907,879.79,0.380069,-6.057888999999999
2025/11/15 00:31:27,ETH,Open Long,3235,0.1547,500.4545,0.216195,-0.216195
2025/11/15 00:34:21,ETH,Close Long,3245.1,0.1547,502.01697,0.216871,1.345599
2025/11/15 00:34:23,XRP,Close Short,2.3368,94,219.65920000000003,0.094892,-2.5858920000000003
2025/11/15 01:10:31,BTC,Open Short,97012,0.01187,1151.53244,0.497462,-0.497462
2025/11/15 01:10:35,BTC,Close Short,97029.8626790228,0.01187,1151.7444700000008,0.497551,-0.709581
2025/11/15 01:16:28,BTC,Open Short,96959,0.01182,1146.05538,0.495095,-0.495095
2025/11/15 01:46:22,HYPE,Open Long,37.047,0.94,34.82418,0.015044,-0.015044
2025/11/15 01:49:21,BTC,Close Short,95864,0.01182,1133.11248,0.489504,12.453396
2025/11/15 01:52:21,HYPE,Close Long,36.861,0.94,34.649339999999995,0.014968,-0.189808
2025/11/15 01:52:25,BTC,Open Long,95587,0.00656,627.05072,0.270884,-0.270884
2025/11/15 01:55:17,BTC,Close Long,96069.7134146341,0.00656,630.2173199999996,0.272252,2.894348
2025/11/15 01:58:20,BTC,Open Short,95910,0.01262,1210.3842,0.522885,-0.522885
2025/11/15 03:04:17,BTC,Close Short,94943,0.01262,1198.18066,0.517613,11.685927
2025/11/15 03:07:23,BTC,Open Short,94916,0.01327,1259.53532,0.544119,-0.544119
2025/11/15 03:19:25,BNB,Open Short,928.85,0.063,58.51755,0.025279,-0.025279
2025/11/15 03:25:22,BTC,Close Short,95722,0.01327,1270.2309400000001,0.548739,-11.244359
2025/11/15 03:34:27,BTC,Open Short,95701.5486348123,0.01172,1121.6221500000001,0.484538,-0.484538
2025/11/15 03:40:23,BTC,Close Short,95522,0.01172,1119.51784,0.483631,1.6201090000000002
2025/11/15 03:40:26,BNB,Close Short,928.67,0.063,58.506209999999996,0.025274,-0.013934000000000002
2025/11/15 03:52:29,BTC,Open Short,95813,0.01266,1212.9925799999999,0.524012,-0.524012
2025/11/15 03:58:17,BTC,Close Short,95743,0.01266,1212.10638,0.523629,0.362571
2025/11/15 04:04:25,BNB,Open Long,931.57,0.443,412.68551,0.17828,-0.17828
2025/11/15 04:19:16,BNB,Close Long,928.72,0.443,411.42296,0.177734,-1.4402840000000001
2025/11/15 04:22:23,BTC,Open Short,95138,0.01266,1204.44708,0.520321,-0.520321
2025/11/15 05:13:30,HYPE,Open Short,37.557,2.55,95.77035,0.041372,-0.041372
2025/11/15 05:19:20,HYPE,Close Short,37.657,2.55,96.02534999999999,0.041482,-0.296482
2025/11/15 06:01:25,BTC,Close Short,95144,0.01266,1204.52304,0.520353,-0.596313
2025/11/15 06:22:26,BTC,Open Short,95055.9349722443,0.01261,1198.6553400000007,0.517813,-0.517813
2025/11/15 07:34:27,ETH,Open Short,3109.6,0.0351,109.14695999999999,0.047151,-0.047151
2025/11/15 07:52:24,BTC,Close Short,94974,0.01261,1197.62214,0.517372,0.5153869999999999
2025/11/15 07:52:26,ETH,Close Short,3125.6,0.0351,109.70855999999999,0.047394,-0.608994
2025/11/15 08:01:24,BTC,Open Short,94900,0.0126,1195.74,0.516559,-0.516559
2025/11/15 10:41:20,BTC,Close Short,96019,0.0126,1209.8394,0.52265,-14.62205
2025/11/15 10:55:19,BNB,Open Short,933.72,0.321,299.72412,0.12948,-0.12948
2025/11/15 11:01:30,XRP,Open Short,2.3036,89,205.0204,0.088568,-0.088568
2025/11/15 11:04:21,HYPE,Open Short,38.77,6.01,233.0077,0.100659,-0.100659
2025/11/15 11:28:19,HYPE,Close Short,38.878,6.01,233.65678,0.100939,-0.750019
2025/11/15 11:34:26,ETH,Open Short,3176.5,0.0742,235.6963,0.10182,-0.10182
2025/11/15 11:40:18,ETH,Close Short,3170.5,0.0742,235.2511,0.101628,0.343572
2025/11/15 11:43:24,ETH,Open Short,3173.9,0.0747,237.09033000000002,0.102422,-0.102422
2025/11/15 12:04:21,ETH,Close Short,3180.5,0.0747,237.58335,0.102636,-0.595656
2025/11/15 12:13:25,BTC,Open Short,96234,0.00266,255.98244,0.110584,-0.110584
2025/11/15 12:52:22,BNB,Close Short,927.27,0.321,297.65367,0.128586,1.941864
2025/11/15 12:52:25,XRP,Close Short,2.2799,89,202.9111,0.087657,2.021643
2025/11/15 12:58:18,BNB,Open Long,927.68,0.223,206.87264,0.089368,-0.089368
2025/11/15 13:04:19,BNB,Close Long,928.72,0.223,207.10456000000002,0.089469,0.142451
2025/11/15 13:07:15,BTC,Close Short,96230,0.00266,255.9718,0.110579,-0.099939
2025/11/15 13:19:18,BTC,Open Short,96213,0.00673,647.5134899999999,0.279725,-0.279725
